,index,property_id,price,bed_no,address,property_type,listed_time,agent,first_station,second_station
18595,201,49231053,544950.0,2.0,"Shuttleworth Road, Battersea, London SW11",flat,2018-10-03 00:00:00,"James Pendleton, Clapham Common &amp; Brixton Office, SW4",Imperial Wharf,Clapham Junction
18596,572,48158127,534950.0,1.0,"Battersea Bridge Road, London SW11",flat,2018-06-27 00:00:00,"James Pendleton, Battersea Park &amp; Nine Elms Office, SW11",Imperial Wharf,Clapham Junction
18597,412,48805274,530000.0,1.0,"Gowrie Road, London SW11",flat,2018-08-22 00:00:00,"Dexters - Battersea, SW11",Clapham Junction,Clapham Common
18598,257,46966193,529950.0,1.0,"""Voyager House Type B Fourth Floor"" at York Road, London SW11",flat,2018-09-21 00:00:00,"Linden Homes - Viewpoint, SW11",Clapham Junction,Imperial Wharf
18599,81,41144350,525000.0,2.0,"White House, Vicarage Crescent, Battersea, London SW11",flat,2018-10-19 00:00:00,"First Union, SW11",Imperial Wharf,Clapham Junction
18600,156,43772313,525000.0,1.0,"Queenstown Road, London SW11",flat,2018-10-09 00:00:00,"Housesimple, CO1",Battersea Park,Queenstown Road (Battersea)
18601,219,49193762,525000.0,1.0,"Boutflower Road, London SW11",flat,2018-09-28 00:00:00,"Marsh &amp; Parsons - Battersea, SW11",Clapham Junction,Wandsworth Town
18602,30,49516607,525000.0,1.0,"Chatfield Road, Constance Court, Battersea SW11",flat,2018-10-30 00:00:00,"Dexters New Homes - Mayfair, W1K",Wandsworth Town,Clapham Junction
18603,608,47997205,525000.0,2.0,"Altenburg Gardens, Battersea SW11",flat,2018-06-14 00:00:00,"Featherstone Leigh - Battersea, SW11",Clapham Junction,Clapham South
18604,621,47932657,525000.0,1.0,"Two Riverlight Quay, Nine Elms Lane, London SW11",flat,2018-06-08 00:00:00,"MyLondonHome - Central and West End Sales and Lettings, SW1E",Pimlico,Battersea Park
18605,886,45069467,525000.0,2.0,"Freedom Street, Battersea, London SW11",flat,2017-09-22 00:00:00,"John D Wood &amp; Co. - Battersea Sales, SW11",Clapham Junction,Queenstown Road (Battersea)
18606,897,44676069,525000.0,1.0,"Altura Tower, Bridges Court Road, Battersea SW11",flat,2017-08-08 00:00:00,"Vantage Properties &amp; Management Ltd, SW11",Imperial Wharf,Clapham Junction
18607,616,47957040,525000.0,2.0,"Battersea Park Road, London SW11",flat,2018-06-12 00:00:00,"Marsh &amp; Parsons - Battersea, SW11",Clapham Junction,Imperial Wharf
18608,150,49304135,525000.0,1.0,"Plough Road, Battersea SW11",flat,2018-10-09 00:00:00,"Lauristons - Battersea, SW11",Clapham Junction,Wandsworth Town
18609,450,48667602,525000.0,1.0,"28 Lanson Building, Chelsea Bridge Wharf, London. SW11",flat,2018-08-08 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18610,260,49111887,520000.0,2.0,"Lavender Hill, Clapham Junction SW11",flat,2018-09-21 00:00:00,"Foxtons - Battersea, SW11",Clapham Junction,Imperial Wharf
18611,432,48750444,520000.0,1.0,"Chelsea Bridge Wharf, London SW11",flat,2018-08-16 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18612,555,48230535,515000.0,1.0,"Warwick Building, Chelsea Bridge Wharf, London SW11",flat,2018-07-04 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18613,649,47804637,515000.0,3.0,"Watford Close, London SW11",flat,2018-05-30 00:00:00,"Breteuil, SW6",Imperial Wharf,Battersea Park
18614,822,44033597,515000.0,3.0,"Watford Close, London, London SW11",flat,2018-02-06 00:00:00,"Tepilo, EC3R",Imperial Wharf,Battersea Park
18615,533,48298064,500000.0,3.0,"Bullen Street, Battersea, London SW11",flat,2018-07-09 00:00:00,"Barnard Marcus - Battersea, SW11",Imperial Wharf,Clapham Junction
18616,761,48151648,500000.0,1.0,"Buckmaster Road, London SW11",flat,2018-03-19 00:00:00,"Douglas &amp; Gordon - Battersea, SW11",Clapham Junction,Wandsworth Town
18617,731,47252234,500000.0,1.0,"Falcon Wharf, Battersea, London SW11",flat,2018-04-12 00:00:00,"MyLondonHome - Central and West End Sales and Lettings, SW1E",Imperial Wharf,Clapham Junction
18618,610,47997145,500000.0,1.0,"Lavender Gardens, Battersea SW11",flat,2018-06-14 00:00:00,"Featherstone Leigh - Battersea, SW11",Clapham Junction,Clapham South
18619,764,46950680,500000.0,1.0,"Lombard Road, London SW11",flat,2018-03-15 00:00:00,"Lauristons - Battersea, SW11",Imperial Wharf,Clapham Junction
18620,446,48681746,500000.0,2.0,"Battersea Park Road, London SW11",flat,2018-08-09 00:00:00,"Portico - Battersea, SW11",Clapham Junction,Imperial Wharf
18621,91,49414952,500000.0,2.0,"Battersea Square, London SW11",flat,2018-10-19 00:00:00,"Chestertons - Battersea Park, SW11",Imperial Wharf,Clapham Junction
18622,426,48762511,500000.0,1.0,"Chatfield Road, London SW11",flat,2018-08-17 00:00:00,"Douglas &amp; Gordon - Battersea Park, SW11",Wandsworth Town,Clapham Junction
18623,105,49402011,500000.0,1.0,"Lombard Road, London SW11",flat,2018-10-18 00:00:00,"Martin &amp; Co London Riverside, SW10",Imperial Wharf,Clapham Junction
18624,111,48685829,500000.0,1.0,"Buckmaster Road, London SW11",flat,2018-10-17 00:00:00,"Portico - Battersea, SW11",Clapham Junction,Wandsworth Town
18625,26,49521086,500000.0,2.0,"Garfield Road, London SW11",flat,2018-10-30 00:00:00,"Douglas &amp; Gordon - Battersea, SW11",Clapham Common,Queenstown Road (Battersea)
18626,282,49060729,499950.0,2.0,"Lombard Road, London SW11",flat,2018-09-17 00:00:00,"Dexters - Battersea, SW11",Imperial Wharf,Clapham Junction
18627,554,48231374,499950.0,2.0,"Stephen Sanders Court, Salcott Road, London SW11",flat,2018-07-04 00:00:00,"Marsh &amp; Parsons - Battersea, SW11",Clapham Junction,Wandsworth Common
18628,802,48151761,495000.0,1.0,"Lurline Gardens, London SW11",flat,2018-02-22 00:00:00,"Douglas &amp; Gordon - Battersea Park, SW11",Battersea Park,Queenstown Road (Battersea)
18629,358,48919741,495000.0,,"Eustace Building, Chelsea Bridge Wharf, London SW11",house,2018-09-04 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18630,885,45817050,495000.0,2.0,"Mcdermott Close, London SW11",flat,2017-09-23 00:00:00,"Doorsteps.co.uk, National, HA3",Clapham Junction,Imperial Wharf
18631,850,45782537,495000.0,1.0,"Drapers Court, Kingsway Square, Battersea, London SW11",flat,2017-12-05 00:00:00,"John D Wood &amp; Co. - Battersea Sales, SW11",Battersea Park,Queenstown Road (Battersea)
18632,480,48545433,495000.0,1.0,"Lombard Road, London SW11",flat,2018-07-27 00:00:00,"Portico - Battersea, SW11",Imperial Wharf,Clapham Junction
